 Id, Vd
-1.21E-09,-0.13
-1.21E-09,-0.128
-1.20E-09,-0.126
-1.20E-09,-0.124
-1.20E-09,-0.122
-1.19E-09,-0.12
-1.19E-09,-0.118
-1.19E-09,-0.116
-1.19E-09,-0.114
-1.18E-09,-0.112
-1.18E-09,-0.11
-1.17E-09,-0.108
-1.17E-09,-0.106
-1.16E-09,-0.104
-1.16E-09,-0.102
-1.15E-09,-0.1
-1.15E-09,-0.098
-1.14E-09,-0.096
-1.14E-09,-0.094
-1.13E-09,-0.092
-1.12E-09,-0.09
-1.12E-09,-0.088
-1.11E-09,-0.086
-1.10E-09,-0.084
-1.10E-09,-0.082
-1.09E-09,-0.08
-1.08E-09,-0.078
-1.07E-09,-0.076
-1.06E-09,-0.074
-1.05E-09,-0.072
-1.04E-09,-0.07
-1.03E-09,-0.068
-1.03E-09,-0.066
-1.01E-09,-0.064
-9.96E-10,-0.062
-9.82E-10,-0.06
-9.69E-10,-0.058
-9.48E-10,-0.056
-9.38E-10,-0.054
-9.20E-10,-0.052
-9.01E-10,-0.05
-8.77E-10,-0.048
-8.61E-10,-0.046
-8.39E-10,-0.044
-8.12E-10,-0.042
-7.88E-10,-0.04
-7.60E-10,-0.038
-7.30E-10,-0.036
-7.10E-10,-0.034
-6.77E-10,-0.032
-6.32E-10,-0.03
-6.07E-10,-0.028
-5.67E-10,-0.026
-5.16E-10,-0.024
-4.74E-10,-0.022
-4.26E-10,-0.02
-3.88E-10,-0.018
-3.29E-10,-0.016
-2.71E-10,-0.014
-2.24E-10,-0.012
-1.49E-10,-0.01
-9.79E-11,-0.008
-3.13E-11,-0.006
6.09E-11,-0.004
1.24E-10,-0.002
2.06E-10,0
3.15E-10,0.002
3.92E-10,0.004
5.12E-10,0.006
5.96E-10,0.008
7.08E-10,0.01
8.62E-10,0.012
9.91E-10,0.014
1.13E-09,0.016
1.24E-09,0.018
1.42E-09,0.02
1.54E-09,0.022
1.74E-09,0.024
1.91E-09,0.026
2.10E-09,0.028
2.25E-09,0.03
2.49E-09,0.032
2.71E-09,0.034
2.96E-09,0.036
3.18E-09,0.038
3.44E-09,0.04
3.67E-09,0.042
4.00E-09,0.044
4.44E-09,0.046
4.77E-09,0.048
5.04E-09,0.05
5.24E-09,0.052
5.64E-09,0.054
5.94E-09,0.056
6.40E-09,0.058
6.82E-09,0.06
