date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:39:37	60128/60128	---M--	200	added ('OK')	application/x-zip-compressed	etag:%22cb88ad77a43cd01:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee225/SPICE_Lecture3.zip	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee225/SPICE_Lecture3.zip	(from http://hercules.shef.ac.uk/eee/teach/resources/eee225/eee225.html)
19:39:42	784245/784245	---M--	200	added ('OK')	application/x-zip-compressed	etag:%22c32aa70a43cd01:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee225/SPICE_Lecture2.zip	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee225/SPICE_Lecture2.zip	(from http://hercules.shef.ac.uk/eee/teach/resources/eee225/eee225.html)
19:39:42	2327/2327	---M--	200	added ('OK')	text/html	etag:%228b264ffd262cd01:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee225/video4.html	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee225/video4.html	(from http://hercules.shef.ac.uk/eee/teach/resources/eee225/eee225.html)
19:40:47	417683/417683	---M--	200	added ('OK')	application/pdf	etag:%220cd9653fd21d21:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee225/2016-17/Lecture-Notes/JG_lecture4.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee225/2016-17/Lecture-Notes/JG_lecture4.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee225/eee225.html)
19:40:49	434294/434294	---M--	200	added ('OK')	application/pdf	etag:%220cd9653fd21d21:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee225/2016-17/Lecture-Notes-Handouts/JG_lecture4handout.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee225/2016-17/Lecture-Notes-Handouts/JG_lecture4handout.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee225/eee225.html)
19:40:50	2327/2327	---M--	200	added ('OK')	text/html	etag:%22dd55e87272cd01:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee225/video5.html	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee225/video5.html	(from http://hercules.shef.ac.uk/eee/teach/resources/eee225/eee225.html)
19:40:54	21455/21455	---M--	200	added ('OK')	application/x-zip-compressed	etag:%228d202481a43cd01:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee225/SPICE_Lecture5.zip	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee225/SPICE_Lecture5.zip	(from http://hercules.shef.ac.uk/eee/teach/resources/eee225/eee225.html)
19:40:56	469058/469058	---M--	200	added ('OK')	application/pdf	etag:%220fac754fd21d21:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee225/2016-17/Lecture-Notes/JG_lecture5.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee225/2016-17/Lecture-Notes/JG_lecture5.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee225/eee225.html)
19:42:04	480529/480529	---M--	200	added ('OK')	application/pdf	etag:%220fac754fd21d21:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee225/2016-17/Lecture-Notes-Handouts/JG_lecture5handout.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee225/2016-17/Lecture-Notes-Handouts/JG_lecture5handout.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee225/eee225.html)
19:42:06	423022/423022	---M--	200	added ('OK')	application/pdf	etag:%22027f955fd21d21:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee225/2016-17/Lecture-Notes/JG_lecture6.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee225/2016-17/Lecture-Notes/JG_lecture6.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee225/eee225.html)
19:42:09	2327/2327	---M--	200	added ('OK')	text/html	etag:%22b62b1115272cd01:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee225/video6.html	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee225/video6.html	(from http://hercules.shef.ac.uk/eee/teach/resources/eee225/eee225.html)
19:42:10	457237/457237	---M--	200	added ('OK')	application/pdf	etag:%22027f955fd21d21:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee225/2016-17/Lecture-Notes-Handouts/JG_lecture6handout.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee225/2016-17/Lecture-Notes-Handouts/JG_lecture6handout.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee225/eee225.html)
19:43:19	428557/428557	---M--	200	added ('OK')	application/pdf	etag:%22027f955fd21d21:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee225/2016-17/Lecture-Notes/JG_lecture7.pdf	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee225/2016-17/Lecture-Notes/JG_lecture7.pdf	(from http://hercules.shef.ac.uk/eee/teach/resources/eee225/eee225.html)
19:43:19	2327/2327	---M--	200	added ('OK')	text/html	etag:%2298553725272cd01:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee225/video7.html	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee225/video7.html	(from http://hercules.shef.ac.uk/eee/teach/resources/eee225/eee225.html)
19:43:21	11365/11365	---M--	200	added ('OK')	application/x-zip-compressed	etag:%22c9459597a43cd01:0%22	http://hercules.shef.ac.uk/eee/teach/resources/eee225/SPICE_Lecture7.zip	C:/My%20Web%20Sites/Hercules/hercules.shef.ac.uk/eee/teach/resources/eee225/SPICE_Lecture7.zip	(from http://hercules.shef.ac.uk/eee/teach/resources/eee225/eee225.html)
